Order ID,order_date,product_name,quantity,unit_price,status
ORD-00373,2025-05-04,Webcam 1080p,4,69.99,completed
ORD-00336,2025-04-12,Monitor Privacy Filter,3,39.99,completed
ORD-00672,2025-03-15,Cable Management Box,1,-19.99,completed
ORD-00527,2025-06-09,27-inch Monitor Stand,4,89.99,completed
ORD-00034,2025-01-15,Mini Wireless Speaker,5,59.99,completed
ORD-00326,2025-04-08,Mechanical Keyboard TKL,2,129.99,completed
ORD-00001,2025-01-21,Thermal Paste 5g,2,7.99,completed
ORD-00032,2025-01-14,Tablet Stand Adjustable,1,22.99,completed
ORD-00631,2025-05-27,USB-C Hub 7-Port,N/A,49.99,completed
ORD-00588,2025-06-29,Monitor Privacy Filter,2,39.99,completed
ORD-00314,2025-04-09,HDMI Cable 2m,1,12.99,completed
ORD-00021,2025-01-07,HDMI Cable 2m,1,12.99,completed
ORD-00011,2025-02-04,Noise-Cancelling Headset,1,149.99,completed
ORD-00052,2025-01-04,Smart Power Strip,5,54.99,completed
ORD-00078,2025-01-19,Wireless Earbuds Pro,4,79.99,completed
ORD-00650,2025-02-07,Desk Lamp LED,?,34.99,completed
ORD-00464,2025-05-07,USB-C Hub 7-Port,4,49.99,completed
ORD-00123,2025-02-11,Monitor Privacy Filter,4,39.99,completed
ORD-00233,2025-03-01,HDMI Cable 2m,3,12.99,completed
ORD-00219,2025-03-21,Tablet Stand Adjustable,4,22.99,completed
ORD-00446,2025-05-04,Blue Light Glasses,1,29.99,completed
ORD-00619,2025-06-01,Screen Cleaning Kit,2,,completed
ORD-00186,2025-03-01,Mini Wireless Speaker,4,59.99,completed
ORD-00374,2025-05-02,USB-C Hub 7-Port,1,49.99,completed
ORD-00176,2025-03-03,Screen Cleaning Kit,4,9.99,completed
ORD-00574,2025-06-12,Tablet Stand Adjustable,3,22.99,completed
ORD-00132,2025-02-11,Screen Cleaning Kit,3,9.99,completed
ORD-00234,2025-03-20,Wrist Rest Pad,1,14.99,completed
ORD-00721,yesterday,Wireless Earbuds Pro,1,79.99,completed
ORD-00416,2025-05-31,Noise-Cancelling Headset,5,149.99,completed
ORD-00302,2025-04-23,Portable Charger 20000mAh,5,44.99,completed
ORD-00367,2025-04-03,Monitor Privacy Filter,4,39.99,completed
ORD-00607,2025-06-24,Thermal Paste 5g,3,,completed
ORD-00556,2025-06-09,Tablet Stand Adjustable,5,22.99,completed
ORD-00272,2025-04-07,27-inch Monitor Stand,5,89.99,completed
ORD-00533,2025-06-07,Laptop Sleeve 15in,4,24.99,completed
ORD-00620,2025-05-11,Smart Power Strip,3,,completed
ORD-00396,2025-05-13,Desk Lamp LED,3,34.99,refunded
ORD-00181,2025-03-17,Wireless Earbuds Pro,1,79.99,completed
ORD-00616,2025-02-05,Smart Power Strip,2,,completed
ORD-00696,2028-07-31,Desk Lamp LED,1,34.99,completed
ORD-00465,2025-05-22,Desk Lamp LED,2,34.99,completed
ORD-00020,2025-01-03,Wrist Rest Pad,5,14.99,completed
ORD-00597,2025-06-18,Screen Cleaning Kit,4,9.99,completed
ORD-00496,2025-06-29,Laptop Sleeve 15in,4,24.99,completed
ORD-00449,2025-05-19,Blue Light Glasses,2,29.99,completed
ORD-00658,2025-02-05,HDMI Cable 2m,1,-12.99,completed
ORD-00453,2025-05-02,Screen Cleaning Kit,4,9.99,completed
ORD-00056,2025-01-12,Noise-Cancelling Headset,4,149.99,completed
ORD-00105,2025-02-22,Desk Lamp LED,1,34.99,completed
ORD-00370,2025-04-28,Desk Lamp LED,4,34.99,completed
ORD-00281,2025-04-13,HDMI Cable 2m,5,12.99,completed
ORD-00312,2025-04-17,Desk Lamp LED,2,34.99,completed
ORD-00470,2025-05-13,27-inch Monitor Stand,4,89.99,completed
ORD-00245,2025-03-08,Monitor Privacy Filter,5,39.99,completed
ORD-00160,2025-02-08,Portable Charger 20000mAh,3,44.99,completed
ORD-00393,2025-05-06,Cable Management Box,2,19.99,completed
ORD-00106,2025-02-21,Cable Management Box,1,19.99,completed
ORD-00674,2025-03-01,Mini Wireless Speaker,1,-59.99,completed
ORD-00376,2025-05-18,27-inch Monitor Stand,3,89.99,completed
ORD-00356,2025-04-07,Desk Lamp LED,1,34.99,completed
ORD-00295,2025-04-19,Monitor Privacy Filter,3,39.99,completed
ORD-00400,2025-05-26,Mechanical Keyboard TKL,2,129.99,returned
ORD-00601,2025-04-14,Desk Lamp LED,2,,completed
ORD-00241,2025-03-29,Screen Cleaning Kit,1,9.99,completed
ORD-00486,2025-06-03,Desk Lamp LED,1,34.99,completed
ORD-00675,2025-01-10,Tablet Stand Adjustable,1,-22.99,completed
ORD-00098,2025-02-06,Screen Cleaning Kit,5,9.99,completed
ORD-00483,2025-05-20,Wireless Earbuds Pro,5,79.99,completed
ORD-00561,2025-06-23,Webcam 1080p,3,69.99,completed
ORD-00482,2025-05-15,27-inch Monitor Stand,3,89.99,completed
ORD-00559,2025-06-15,27-inch Monitor Stand,3,89.99,completed
ORD-00720,2025.01.32,Screen Cleaning Kit,1,9.99,completed
ORD-00638,2025-06-19,Cable Management Box,one,19.99,completed
ORD-00073,2025-01-21,Webcam 1080p,4,69.99,completed
ORD-00011,2025-01-22,HDMI Cable 2m,1,12.99,returned
ORD-00667,2025-01-02,27-inch Monitor Stand,1,-89.99,completed
ORD-00702,2025.01.32,Smart Power Strip,1,54.99,completed
ORD-00413,2025-05-07,Mini Wireless Speaker,5,59.99,refunded
ORD-00114,2025-02-06,HDMI Cable 2m,4,12.99,completed
ORD-00288,2025-04-15,27-inch Monitor Stand,1,89.99,completed
ORD-00024,2025-02-17,Ergonomic Mouse,1,64.99,completed
ORD-00580,2025-06-02,Thermal Paste 5g,2,7.99,completed
ORD-00065,2025-01-18,Monitor Privacy Filter,4,39.99,completed
ORD-00135,2025-02-03,Laptop Sleeve 15in,2,24.99,completed
ORD-00270,2025-04-20,Screen Cleaning Kit,3,9.99,refunded
